Survived,Sex,Age
0,male,22
1,female,38
1,female,26
1,female,35
0,male,35
0,male,23
0,male,34
0,male,2
1,female,27
1,female,14
1,female,4
1,female,58
0,male,20
0,male,39
0,female,14
1,female,55
0,male,2
1,male,34
0,female,31
1,female,27
0,male,35
1,male,34
1,female,15
1,male,28
0,female,8
1,female,38
0,male,27
0,male,19
1,female,25
0,male,21
0,male,40
1,female,23
1,female,43
0,male,66
0,male,28
0,male,42
1,male,32
0,male,21
0,female,18
1,female,14
0,female,40
0,female,27
0,male,35
1,female,3
1,female,19
0,male,34
0,male,32
1,female,45
0,male,21
0,female,18
0,male,7
0,male,21
1,female,49
1,female,29
0,male,65
1,male,23
1,female,21
0,male,28.5
1,female,5
0,male,11
0,male,22
1,female,38
0,male,45
0,male,4
0,male,32
1,male,76
1,female,29
0,male,19
1,female,17
0,male,26
0,male,32
0,female,16
0,male,21
0,male,26
1,male,32
0,male,25
0,male,43
0,male,34
1,male,8
1,female,30
0,male,22
1,male,29
1,female,28
0,male,28
1,female,17
1,female,33
0,male,16
0,male,29
1,female,23
0,male,24
0,male,29
0,male,20
0,male,46
0,male,26
0,male,59
0,male,27
0,male,71
1,male,23
1,female,34
